id,section,text,tip,chapter,region
"req-kieran-burdock","camp-requests","Burdock Root (×2) for Kieran","Common plant. Do before Chapter 4! He gives Horse Medicine.","3",
"req-lenny-watch","camp-requests","Pocket Watch for Lenny","Rob wealthy NPCs or find in houses. He gives Dynamite!","",
"req-marybeth-pen","camp-requests","Fountain Pen for Mary-Beth","Houses or general stores. She gives Gold Ring.","",
"req-molly-mirror","camp-requests","Pocket Mirror for Molly","Houses or stores. She gives a Cigar.","3",
"req-sadie-harmonica","camp-requests","Harmonica for Sadie","Random NPC loot or houses. She gives Gun Oil.","3",
"req-sean-bourbon","camp-requests","Kentucky Bourbon for Sean","Buy at saloons. He gives Fire Bottle!","2",
"req-susan-herbs","camp-requests","Seasoning Herbs (×2) for Susan","Wild Mint, Oregano, or Creeping Thyme. She gives Miracle Tonic.","",
"req-tilly-necklace","camp-requests","Necklace for Tilly","Jewelry boxes or rob wealthy NPCs. She gives Medicine.","",
"requests-epilogue","camp-requests","Uncle","","",
"req-uncle-cure","camp-requests","Uncle\","","",
"collect-dreamcatchers","collectibles","Dreamcatchers (20 Total)","Hanging in trees. Collect all 20 for map leading to Ancient Arrowhead (slower bow stamina drain).","",
"dream-01","collectibles","Flatneck Station West","Hill west of Flatneck Station, in a tree","",
"dream-02","collectibles","Caliban","","",
"dream-03","collectibles","Dakota River South Bank","On a ledge facing the river, near legendary fish spot","",
"dream-04","collectibles","Heartland Overflow","Large leafless tree near overflow area","",
"dream-05","collectibles","Heartland Hills","Large standalone leafless tree","",
"dream-06","collectibles","Grizzlies SE","On mountain path, past fallen tree","",
"dream-07","collectibles","Cotorra Springs East","Biggest tree in small thicket","",
"dream-08","collectibles","Near The Loft","South of The Loft, only bare tree on right side","",
"dream-09","collectibles","Snowy Peak","Clump of trees after crossing river, heading NNW","",
"dream-10","collectibles","Campfire Area","Big tree behind log and small stump","",
"dream-11","collectibles","Annesburg North 1","In a clearing north of Annesburg","",
"dream-12","collectibles","Annesburg North 2","Edge of road just north of town","",
"dream-13","collectibles","Annesburg SE","Top of hill southeast of Annesburg","",
"dream-14","collectibles","Annesburg South","Middle of tree group off road","",
"dream-15","collectibles","Roanoke Ridge Hill","Tree that does not stand out, higher up","",
"dream-16","collectibles","Elysian Pool South","Big tree by a bush south of pool","",
"dream-17","collectibles","Bluewater Marsh NE","Tree at path fork in marsh","",
"dream-18","collectibles","Lonnie","","",
"dream-19","collectibles","Aberdeen Pig Farm West","Hill west of the creepy farm","",
"dream-20","collectibles","Elysian Pool Area","Beyond old house foundation. LAST ONE → Get Map!","",
"collect-exotics","collectibles","Exotic Quest (Duchesses and Other Animals)","📍 Algernon Wasp - Greenhouse N of Saint Denis. Chapter 4+ after ","",
"exotic-part1","collectibles","── PART I ──","⚠️ START HERE: Orchids only spawn up to current quest amount!","",
"exotic-p1-lady","collectibles","Lady of the Night Orchids (15)","📍 Trees in Bayou Nwa southern shore, N of Kamassa River, Caliga Hall area.","",
"exotic-p1-egret-little","collectibles","Little Egret Plumes (5)","White egrets in Bayou Nwa. Varmint Rifle headshot. Farm near Lagras.","",
"exotic-p1-egret-reddish","collectibles","Reddish Egret Plumes (5)","Scarlett Meadows coastline. Reddish colored birds.","",
"exotic-part2","collectibles","── PART II ──","Turn in Part I first! New orchids spawn after.","",
"exotic-p2-moccasin","collectibles","Moccasin Flower Orchids (10)","📍 GROUND orchids around Butcher Creek, Roanoke Ridge.","",
"exotic-p2-slipper","collectibles","Lady Slipper Orchids (7)","📍 GROUND orchids in Big Valley, West Elizabeth.","",
"exotic-p2-egret-snowy","collectibles","Snowy Egret Plumes (5)","Farm Bayou Nwa → Rhodes → Emerald Station fast travel → sleep → return.","",
"exotic-p2-spoonbill","collectibles","Roseate Spoonbill Plumes (5)","🩷 PINK birds! Bayou Nwa islands. Beautiful but rare.","",
"exotic-part3","collectibles","── PART III ──","Quest is getting harder. Use Eagle Eye (L3+R3) constantly!","",
"exotic-p3-acuna","collectibles","Acuna","","",
"exotic-p3-cigar","collectibles","Cigar Orchids (7)","📍 TREES in Bluewater Marsh and NE Bayou Nwa.","",
"exotic-p3-eggs","collectibles","Gator Eggs (5)","📍 Nests near water in Bayou Nwa. Check shorelines.","",
"exotic-part4","collectibles","── PART IV ──","Almost there! Keep searching systematically.","",
"exotic-p4-ghost","collectibles","Ghost Orchids (5)","📍 TREES deep in Bayou Nwa. Hard to spot - use Eagle Eye!","",
"exotic-p4-night","collectibles","Night Scented Orchids (5)","📍 TREES south of Braithwaite Manor area.","",
"exotic-p4-rat","collectibles","Rat Tail Orchids (10)","📍 TREES throughout Lemoyne swamps.","",
"exotic-p4-spider","collectibles","Spider Orchids (5)","📍 TREES in Lemoyne swamp areas.","",
"exotic-part5","collectibles","── PART V (FINAL) ──","🎉 Last stretch! Collect these for the big reward.","",
"exotic-p5-clamshell","collectibles","Clamshell Orchids (5)","📍 TREES E of Caliga Hall and Shady Belle, along riverfront.","",
"exotic-p5-queens","collectibles","Queen","","",
"exotic-p5-sparrow","collectibles","Sparrow","","",
"exotic-p5-dragon","collectibles","Dragon","","",
"exotic-p5-eggs","collectibles","Gator Eggs (20 more)","📍 20 more eggs! Same locations. Check repeatedly.","",
"exotic-complete","collectibles","✨ COMPLETE → Get Rewards!","🎁 Return to Algernon for: Algernon\","",
"collect-dino","collectibles","Dinosaur Bones (30 Total)","See ","",
"collect-rock","collectibles","Rock Carvings (10 Total)","See ","",
"collect-cig","collectibles","Cigarette Cards (144 Total - 12 Sets)","See ","",
"collect-graves","collectibles","Graves (9 Total)","See ","",
"collect-hunting","collectibles","Hunting Requests (5 Total)","See ","",
"collect-points-interest","collectibles","Points of Interest","Discover unique locations that get marked on your map. 50+ total.","",
"hideout-main","gang-hideouts","100% Completion Hideouts (6 Required)","Clear all enemies to complete. Some respawn, some are story-locked.","",
"hideout-six-point","gang-hideouts","Six Point Cabin (O\","","",
"hideout-shady-belle","gang-hideouts","Shady Belle (Lemoyne Raiders)","📍 Bayou Nwa, south of Caliga Hall. Story location - becomes camp in Chapter 4.","3",
"hideout-hanging-dog","gang-hideouts","Hanging Dog Ranch (O\","","",
"hideout-beaver-hollow","gang-hideouts","Beaver Hollow (Murfree Brood)","📍 W of Annesburg, Roanoke Ridge. Becomes gang camp in Chapter 6.","6",
"hideout-fort-mercer","gang-hideouts","Fort Mercer (Del Lobos)","📍 New Austin, S of Armadillo. ⚠️ EPILOGUE ONLY! Abandoned fort with many enemies.","Epilogue",
"hideout-thieves-landing","gang-hideouts","Thieves\","","",
"hideout-bonus","gang-hideouts","Bonus Hideouts (Optional)","Extra hideouts not required for 100% but offer good loot.","",
"hideout-gaptooth","gang-hideouts","Gaptooth Breach (Del Lobos)","📍 Gaptooth Ridge, W of Tumbleweed. Abandoned mine colony. Epilogue only.","",
"hideout-twin-rocks","gang-hideouts","Twin Rocks (Del Lobos) ⭐","📍 Cholla Springs, N of Armadillo. Special/Ultimate Edition bonus. Epilogue only.","",
"hideout-solomons","gang-hideouts","Solomon\","","",
"hideout-tips","gang-hideouts","Gang Hideout Tips","Strategies for clearing hideouts safely.","",
"hideout-tip-stealth","gang-hideouts","Use Stealth","Approach at night with bow. Take out sentries silently for easier fight.","",
"hideout-tip-deadeye","gang-hideouts","Dead Eye Tonics","Bring Snake Oil. Dead Eye makes clearing multiple enemies much easier.","",
"hideout-tip-loot","gang-hideouts","Loot Everything","Hideouts have ammo, money, valuables. Check all bodies and buildings!","",
"hideout-tip-respawn","gang-hideouts","Respawn Mechanic","Most hideouts respawn after a few in-game days. Good for farming money.","",
"grave-jenny","graves","Jenny Kirk","","",
"grave-davey","graves","Davey Callender","","",
"grave-sean","graves","Sean MacGuire","","",
"grave-kieran","graves","Kieran Duffy","","",
"grave-hosea","graves","Hosea Matthews","","",
"grave-lenny","graves","Lenny Summers","","",
"grave-eagle","graves","Eagle Flies","","",
"grave-susan","graves","Susan Grimshaw","","",
"grave-arthur","graves","Arthur Morgan","","",
"legendary-ambarino","legendary-animals","Ambarino Region (Grizzlies)","Cold weather region - dress warm! Some of the toughest legendary animals.","",
"leg-bear","legendary-animals","Legendary Bharati Grizzly Bear","North of O","",
"leg-bison-white","legendary-animals","Legendary White Bison","Lake Isabella, NW corner near Mount Hagen. Use high-powered rifle headshot.","",
"leg-wolf","legendary-animals","Legendary Wolf","Cotorra Springs geyser area. Best at dawn. Sniper first shot, then Dead Eye.","",
"leg-ram","legendary-animals","Legendary Bighorn Ram","East of Cattail Pond, near Valentine. Use bow or rifle headshot. Cover scent helps.","",
"leg-elk","legendary-animals","Legendary Elk","East of Bacchus Station, Cumberland Forest. Springfield or bow to vitals.","",
"legendary-new-hanover","legendary-animals","New Hanover Region","Central map area - accessible early in story.","",
"leg-buck","legendary-animals","Legendary Buck","NW of Strawberry, Black Bone Forest. HUNT FIRST for Buck Antler Trinket = better pelts!","",
"leg-coyote","legendary-animals","Legendary Coyote","Scarlett Meadows near Dewberry Creek, NW of Rhodes. Fast - use Springfield for one-shot.","",
"leg-fox","legendary-animals","Legendary Fox","North of Rhodes near Mattock Pond. Small target - Varmint Rifle or bow.","",
"legendary-lemoyne","legendary-animals","Lemoyne Region","Swamp and bayou area. Watch for gators!","",
"leg-boar","legendary-animals","Legendary Boar","Bluewater Marsh, north of Lagras. Springfield or poison arrows work well.","",
"leg-beaver","legendary-animals","Legendary Beaver","Butcher Creek area, west of Van Horn. Albino beaver - Varmint Rifle one-shot.","",
"leg-alligator","legendary-animals","Legendary Bullgator","Lakay, Bayou Nwa. ONLY after Chapter 4. Bring Rolling Block Rifle + shotgun backup!","4",
"leg-panther","legendary-animals","Legendary Giaguaro Panther","Bolger Glade, south of Braithwaite Manor. REQUIRES Master Hunter Rank 9 first. Extremely dangerous!","",
"legendary-roanoke","legendary-animals","Roanoke Ridge Region","Northeast woodland area. Rare spawn territory.","",
"leg-moose","legendary-animals","Legendary Moose","Near Brandywine Drop, northeast corner. RARE SPAWN - camp nearby and sleep repeatedly.","",
"legendary-new-austin","legendary-animals","New Austin (EPILOGUE ONLY)","⚠️ These 3 animals can only be hunted in the Epilogue as John Marston.","epilogue",
"leg-cougar","legendary-animals","Legendary Cougar","Gaptooth Ridge, west of Tumbleweed. Very deadly - use Dead Eye + shotgun!","epilogue",
"leg-pronghorn","legendary-animals","Legendary Pronghorn","Del Lobo Rock, SE of Fort Mercer. Fast runner - sniper rifle essential.","epilogue",
"leg-bison-tatanka","legendary-animals","Legendary Tatanka Bison","Hennigan","",
"legendary-fish","legendary-animals","🐟 Legendary Fish (13 Total)","Start: Jeremy Gill at Flat Iron Lake. Buy Special Lures from Bait Shop. Mail fish to Jeremy.","",
"fish-bluegill","legendary-animals","Bluegill (Flat Iron Lake)","Near Rhodes. Special Lake Lure.","",
"fish-bass-large","legendary-animals","Largemouth Bass (San Luis River)","New Austin area. Special Lake Lure.","epilogue",
"fish-bass-small","legendary-animals","Smallmouth Bass (Owanjila Lake)","Near Strawberry. Special Lake Lure.","",
"fish-bass-rock","legendary-animals","Rock Bass (Aurora Basin)","Tall Trees area. Special Lake Lure.","",
"fish-bass-striped","legendary-animals","Striped Bass (San Luis River)","Rio Bravo, New Austin. Special River Lure.","epilogue",
"fish-perch","legendary-animals","Perch (Elysian Pool)","Roanoke Ridge. Special Lake Lure.","",
"fish-pickerel","legendary-animals","Chain Pickerel (Dakota River)","Near Valentine. Special River Lure.","",
"fish-muskie","legendary-animals","Muskie (O\","","",
"fish-gar","legendary-animals","Longnose Gar (Lagras)","Bayou Nwa swamp. Special Swamp Lure.","",
"fish-salmon","legendary-animals","Sockeye Salmon (Lake Isabella)","Far north, snowy. Special Lake Lure.","",
"fish-steelhead","legendary-animals","Steelhead Trout (Willard\","","",
"fish-sturgeon","legendary-animals","Lake Sturgeon (Flat Iron Lake)","South of Rhodes. Special Lake Lure.","",
"fish-catfish","legendary-animals","Channel Catfish (Sisika Island)","Prison island area. Special River Lure. Easier in epilogue.","epilogue",
"missable-bolt-action","missable","Bolt Action Rifle (Free)","","",
"missable-mary-missions","missable","Mary Linton Missions (3 Parts)","Complete all before Chapter 6 ends. Emotional storyline.","",
"missable-edith-downes","missable","Edith Downes Missions (2 Parts)","Saint Denis slums. After debt collection missions. Redemption arc.","",
"missable-veteran","missable","The Veteran (Hamish Sinclair)","O","",
"missable-widow","missable","The Widow (Charlotte Balfour)","North of Annesburg. 3 Parts. Teaching survival.","",
"missable-pearson-jacket","missable","Pearson","","",
"missable-kieran","missable","Fishing with Kieran","Chapter 3 only. Before Kieran","",
"missable-chicks-treasure","missable","Chick","","",
"missable-lenny","missable","A Quiet Time (Lenny Night)","Valentine bar. Automatic story mission. YNNEL!","",
"missable-camp-requests","missable","Camp Companion Requests","Gang members ask for items (pipe, book, etc.). Check ","",
"missable-high-honor","missable","High Honor Missions","Some stranger encounters require high honor to access.","",
"missable-do-not-seek","missable","Do Not Seek Absolution I & II","Brother Dorkins. High honor required. Saint Denis church.","",
"missable-guarma-hat","missable","Guarma Hat","⚠️ ONLY in Guarma (Ch5). Kill soldiers wearing unique hat. Cannot return!","",
"missable-police-uniform","missable","Saint Denis Police Uniform","⚠️ ","",
"missable-miners-hat","missable","Miner","","",
"missable-military-hat","missable","Military Mountie Hat","Fort Wallace missions. Loot from army officer during Chapter 6 missions.","",
"missable-braithwaite-hat","missable","Braithwaite Manor Hat","During manor raid mission. Loot unique hats from estate guards.","",
"missable-civil-war-hat","missable","Civil War Hardee Hat","Fort Brennand (same as knife). On skeleton in basement.","",
"missable-viking-helmet","missable","Viking Helmet","Same tomb as Viking Hatchet. NW of Annesburg. On skeleton.","",
"missable-pirate-hat","missable","Pirate Hat","Same shipwreck as Pirate Sword. Island south of Saint Denis.","",
"mystery-serial-killer","mysteries","Serial Killer Mystery (American Dreams)","Find 3 gruesome clues to track down the killer. Reward: Unique encounter + item.","",
"serial-clue-1","mysteries","Clue 1: Wallace Station","📍 SW of Valentine, S of Wallace Station. Rock with dismembered body. Map piece in severed head\","",
"serial-clue-2","mysteries","Clue 2: Valentine South","📍 Between Citadel Rock & Caster\","",
"serial-clue-3","mysteries","Clue 3: Braithwaite Manor","📍 East of Braithwaite Manor. Body in tree with ","",
"serial-cabin","mysteries","Confront the Killer","📍 Lucky\","",
"mystery-vampire","mysteries","Vampire of Saint Denis","Find 5 blood graffiti clues. Only appears at midnight! Reward: Ornate Dagger.","",
"vampire-graffiti-1","mysteries","Graffiti 1: Near Outdoor Market","Close to Trapper/Fence location in SE Saint Denis.","",
"vampire-graffiti-2","mysteries","Graffiti 2: Soup Kitchen","Across from Doyle\","",
"vampire-graffiti-3","mysteries","Graffiti 3: Alleyway","Between Gaillard\","",
"vampire-graffiti-4","mysteries","Graffiti 4: Church Area","Near St. Denis Cathedral southern wall.","",
"vampire-graffiti-5","mysteries","Graffiti 5: Back Streets","Behind the general store area. Inspect all to trigger encounter.","",
"vampire-encounter","mysteries","Kill the Vampire ⭐","⚠️ Appears 12:00-1:00 AM ONLY! Alley south of general store near Doyle\","",
"mystery-ufo","mysteries","UFO Sightings","Two locations to witness alien spacecraft. Requires specific times!","",
"ufo-cult-shack","mysteries","UFO 1: Hani","","",
"ufo-cult-trigger","mysteries","UFO 1: Trigger at 2:00 AM","⚠️ Return to shack at 2:00 AM. Green glow, UFO hovers above!","",
"ufo-shann","mysteries","UFO 2: Mount Shann Peak","📍 Peak of Mount Shann (NW of Strawberry). Clue in cult note. Go at night.","",
"ufo-shann-trigger","mysteries","UFO 2: Witness at Peak","⚠️ Stand at very top of mountain at night. Second, different UFO appears!","",
"mystery-ghosts","mysteries","Ghost Encounters","Supernatural apparitions that tell tragic stories.","",
"ghost-agnes","mysteries","Ghost of Agnes Dowd ⭐","📍 NW Bluewater Marsh, 9PM-3AM, foggy weather. Appears 16 TIMES telling her tragic story. Grave at S","",
"ghost-train","mysteries","Ghost Train","📍 Scarlett Meadows, S of Old Greenbank Mill. Ride tracks at 3:00 AM. Horse gets anxious! Appears ON","",
"mystery-bigfoot","mysteries","Bigfoot & Giant Encounters","Evidence of giant creatures in the mountains.","",
"bigfoot-skeleton","mysteries","Giant Skeleton","📍 Cave at top of Mount Shann (N of Strawberry). Massive humanoid skeleton. Point of Interest marked","",
"bigfoot-voice","mysteries","Talking Giant","📍 Grizzlies East, E of Wapiti Reservation. REQUIREMENT: Study 30+ animal species first! Follow bird","",
"mystery-robot","mysteries","Marko Dragic","","",
"robot-meet","mysteries","Part 1: Meet Marko","📍 SW Saint Denis park. Chapter 4+. Help with RC boat demonstration.","",
"robot-lab","mysteries","Part 2: Doverhill Lab","📍 Doverhill (far NE map). Wait 24+ in-game hours. Capture lightning with rods. Robot comes alive!","",
"robot-final","mysteries","Part 3: Find the Robot","📍 Wait a few more days, return to find Marko dead. Robot fled to mountain ledge overlooking Colter.","",
"mystery-time-traveler","mysteries","Time Traveler (Geology for Beginners)","Man with modern clothes asks you to find rock carvings. Strange ending...","",
"sinclair-meet","mysteries","Meet Francis Sinclair","📍 Small cabin NW of Strawberry. Chapter 2+. Note his modern speech and birthmark!","",
"sinclair-carvings","mysteries","Find All 10 Rock Carvings","See Collectibles section for locations. Carvings show pyramids, Vikings, skyscrapers...","",
"sinclair-ending","mysteries","Return to Cabin","⚠️ After finding all carvings, return. Woman with baby who has SAME BIRTHMARK as Francis. Time loop?","",
"mystery-other","mysteries","Other Secrets & Easter Eggs","Additional mysterious encounters throughout the world.","",
"mystery-strange-man","mysteries","The Strange Man","📍 Abandoned cabin near Bayall Edge. Mirror reflects mysterious figure from RDR1. Painting completes","",
"mystery-witch","mysteries","Witch","","",
"mystery-devil","mysteries","Devil","","",
"mystery-feral","mysteries","Feral Man","📍 Roanoke Ridge. Wild man living with wolf pack. Unique encounter.","",
"mystery-pagan","mysteries","Pagan Ritual Site","📍 Big Valley, West Elizabeth. Disturbing sacrifice scene. Night recommended.","",
"mystery-tiny-church","mysteries","Tiny Church","📍 Bayou Nwa, Lemoyne. Miniature uninhabited white church. Unexplained...","",
"mystery-viking","mysteries","Viking Tomb","📍 NW of Annesburg. Ancient Viking burial site. Get Viking Hatchet + Helmet here.","",
"mystery-meteor","mysteries","Meteor Crash Site","📍 Roanoke Ridge. Burned cabin destroyed by meteor. Find meteor fragment inside.","",
"pamph-explosive","pamphlets","Explosive & Incendiary Ammo","Most powerful ammo types. Animal Fat is key ingredient!","",
"pamph-explosive-slug","pamphlets","Explosive Slug Pamphlet","📍 Burned house near train tracks between Gaptooth Ridge & Cholla Springs. OR Fence ($90) after ","",
"pamph-express-explosive","pamphlets","Express Explosive Pamphlet","📍 Available from start of Chapter 2.","",
"pamph-incendiary-buckshot","pamphlets","Incendiary Buckshot Pamphlet","📍 Under floorboard at Copperhead Landing cabin. OR Fence ($80) after ","",
"pamph-fire-arrow","pamphlets","Fire Arrow Pamphlet","📍 Fence ($75). Requires Animal Fat.","",
"pamph-arrows","pamphlets","Special Arrow Pamphlets","Arrows for hunting and combat. Flight Feathers from birds!","",
"pamph-poison-arrow","pamphlets","Poison Arrow Pamphlet","📍 Lockbox outside Mysterious Hill Home (NE of Bacchus Station). OR Charles bison hunt. OR Fence.","",
"pamph-dynamite-arrow","pamphlets","Dynamite Arrow Pamphlet","📍 Lockbox under small wooden bridge S of Wapiti Indian Reservation. OR Fence after quest.","",
"pamph-improved-arrow","pamphlets","Improved Arrow Pamphlet","📍 Fence ($350). Better penetration for large game.","",
"pamph-small-game-arrow","pamphlets","Small Game Arrow Pamphlet","📍 Fence. Essential for perfect small pelts!","",
"pamph-tracking-arrow","pamphlets","Tracking Arrow Pamphlet","📍 Complete ","",
"pamph-thrown","pamphlets","Thrown Weapon Pamphlets","Tomahawks and Throwing Knives upgrades.","",
"pamph-poison-knife","pamphlets","Poison Throwing Knife Pamphlet","📍 Under floorboard in shack N of Saint Denis (near train tracks). OR Charles quest. OR Fence.","",
"pamph-improved-knife","pamphlets","Improved Throwing Knife Pamphlet","📍 Fence ($45). Better range and damage.","",
"pamph-homing-tomahawk","pamphlets","Homing Tomahawk Pamphlet","📍 Fence. Slightly homing capabilities.","",
"pamph-explosives","pamphlets","Explosive Pamphlets","Throwable explosive upgrades.","",
"pamph-volatile-dynamite","pamphlets","Volatile Dynamite Pamphlet","📍 Lockbox under broken wagon at Hani","",
"pamph-volatile-fire-bottle","pamphlets","Volatile Fire Bottle Pamphlet","📍 Fence ($95). Bigger explosion.","",
"pamph-tonics","pamphlets","Tonic Pamphlets","Health, Stamina, Dead Eye restoration crafting.","",
"pamph-potent-health","pamphlets","Potent Health Cure Pamphlet","📍 Near Annesburg mining area. OR Fence.","",
"pamph-potent-bitters","pamphlets","Potent Snake Oil Pamphlet","📍 Fence. Dead eye restoration.","",
"pamph-horse-reviver","pamphlets","Horse Reviver Pamphlet","📍 Fence. Bring back downed horse!","",
"pamph-horse-stimulant","pamphlets","Horse Stimulant Pamphlet","📍 Fence. Restore horse stamina.","",
"pamph-special-miracles","pamphlets","Special Miracle Tonic Pamphlet","📍 Fence after Chapter 3. Full core restore!","",
"pamph-hunting","pamphlets","Hunting & Bait Pamphlets","Lures and scent covers for hunting.","",
"pamph-cover-scent","pamphlets","Cover Scent Lotion Pamphlet","📍 Early game Fence. Mask your scent from animals.","",
"pamph-potent-predator-bait","pamphlets","Potent Predator Bait Pamphlet","📍 Fence. Attracts predators faster.","",
"pamph-potent-herbivore-bait","pamphlets","Potent Herbivore Bait Pamphlet","📍 Fence. Attracts herbivores faster.","",
"pamph-special-horse-food","pamphlets","Special Horse Food Pamphlet","📍 Fence. Best horse core restoration.","",
"stranger-gunslingers","strangers","The Noblest of Men, and a Woman","Start: Valentine Saloon with Theodore Levin. Track 5 legendary gunslingers for his biography.","2",
"guns-emmet","strangers","Defeat Emmet Granger","Farm east of Flatneck Station. Clean pigsty, then duel him.","",
"guns-flaco","strangers","Defeat Flaco Hernandez","Cairn Lake cabin, Ambarino. Fight gang, then duel.","",
"guns-billy","strangers","Defeat Billy Midnight","Rhodes train station. Chase on train, duel on roof.","",
"guns-belle","strangers","Help Black Belle","Bluewater Marsh. Defend from bounty hunters (no duel).","",
"guns-slim","strangers","Rescue Slim Grant","Annesburg sheriff → rescue Grant from bandits.","",
"guns-calloway","strangers","Final: Duel Jim Boy Calloway","Saint Denis riverboat. Final confrontation.","",
"stranger-dinosaur-bones","strangers","A Test of Faith (Dinosaur Bones)","Start: Deborah MacGuiness SE of Horseshoe Overlook. Find 30 bones, mail locations from Post Office.","2",
"bone-01","strangers","Heartlands: Oil Field","Bottom of well under oil derrick at Heartlands Oil Fields","",
"bone-02","strangers","Heartlands: Dewberry Creek West","West of Dewberry Creek, open rocky area","",
"bone-03","strangers","Scarlett Meadows: Dewberry Creek South","South of Dewberry Creek, in the open","",
"bone-04","strangers","Heartlands: Flatneck Station","Grassy hill east of Flatneck Station, near railroad","",
"bone-05","strangers","Heartlands: Caliban","","",
"bone-06","strangers","Heartlands: Abandoned Shack","South of abandoned cabin, north of ","",
"bone-07","strangers","Heartlands: Dried River Gorge","Follow dried river from Oil Rig to source, left bank","",
"bone-08","strangers","Cumberland: Six Point Overlook","Top of southeastern edge of Six Point Overlook","",
"bone-09","strangers","Cumberland: Bacchus Station","Near Bacchus Station, ridge next to spiked rock","",
"bone-10","strangers","Grizzlies: Dakota River North","North side of Dakota River, north of Valentine, rock cliff","",
"bone-11","strangers","Grizzlies: Fort Wallace Ledge","NW of Fort Wallace, high ledge from Cotorra Springs","",
"bone-12","strangers","Grizzlies: Calumet Ravine","North of Donner Falls, hill off path behind rocks","",
"bone-13","strangers","Grizzlies: O","","",
"bone-14","strangers","Grizzlies: Northern Boundary","North road at Grizzlies East → south up hill, flowery grove","",
"bone-15","strangers","Roanoke: O","","",
"bone-16","strangers","Roanoke: Brandywine Drop","Up Roanoke Ridge near Brandywine Drop waterfall","",
