id,section,text,tip_short,tip_detailed,chapter,region,reward,missable,notes
"req-charles-eagle","camp-requests","Eagle Feather for Charles","","Shoot eagles or find feathers. EPILOGUE only request.","epilogue","","Improved Arrows","",""
"req-charles-moonshine","camp-requests","Moonshine for Charles","","Fence or general store. Creates Fire Arrows for you.","","","Fire Arrows","YES",""
"req-charles-oleander","camp-requests","Oleander Sage for Charles","","Bayou area plant. Creates Poison Arrows for you. Excellent!","","","Poison Arrows","YES",""
"req-dutch-pipe","camp-requests","Pipe for Dutch","","Random finds or Fence. He gives ornate Spurs.","","","Spurs","YES",""
"req-hosea-book","camp-requests","The Case of the Shrew in the Fog","","General stores. Read ""Tale of Deceitful German"" first to trigger.","","","Predator Bait","YES",""
"req-hosea-ginseng","camp-requests","American Ginseng (×2)","","Forest areas - common plant. He gives Potent Medicine.","","","Potent Medicine","YES",""
"req-jack-comic","camp-requests","Comic Book for Jack","","General stores sell them. He gives you chocolate bar.","","","Chocolate Bar","YES",""
"req-jack-thimble","camp-requests","Thimble for Jack","","Find in houses/cabins. He gives you a sweet drawing.","","","Jack's Drawing","YES",""
"req-javier-oleander","camp-requests","Oleander Sage for Javier","","Bayou plant. He gives Poison Throwing Knives.","","","Poison Knives","YES",""
"req-kieran-burdock","camp-requests","Burdock Root (×2) for Kieran","","Common plant. Do before Chapter 4! He gives Horse Medicine.","3","","Horse Medicine","YES",""
"req-lenny-watch","camp-requests","Pocket Watch for Lenny","","Rob wealthy NPCs or find in houses. He gives Dynamite!","","","Dynamite","YES",""
"req-marybeth-pen","camp-requests","Fountain Pen for Mary-Beth","","Houses or general stores. She gives Gold Ring.","","","Gold Ring","YES",""
"req-molly-mirror","camp-requests","Pocket Mirror for Molly","","Houses or stores. She gives a Cigar.","3","","Cigar","YES",""
"req-pearson-compass","camp-requests","Naval Compass","","Shipwrecks or naval locations. He shares rum and navy stories.","","","Navy Stories","YES",""
"req-pearson-rabbit","camp-requests","Rabbit Carcass","","Hunt any rabbit (perfect not needed). He makes Nutritious Stew.","","","Camp Stew Upgrade","YES",""
"req-sadie-harmonica","camp-requests","Harmonica for Sadie","","Random NPC loot or houses. She gives Gun Oil.","3","","Gun Oil","YES",""
"req-sean-bourbon","camp-requests","Kentucky Bourbon for Sean","","Buy at saloons. He gives Fire Bottle!","2","","Fire Bottle","YES",""
"req-susan-herbs","camp-requests","Seasoning Herbs (×2) for Susan","","Wild Mint, Oregano, or Creeping Thyme. She gives Miracle Tonic.","","","Miracle Tonic","YES",""
"req-tilly-necklace","camp-requests","Necklace for Tilly","","Jewelry boxes or rob wealthy NPCs. She gives Medicine.","","","Medicine","YES",""
"req-uncle-cure","camp-requests","Uncle\","","Collect: Milkweed, Kentucky Bourbon, Peppermint, Hair Pomade, Skunk Carcass. Poor Uncle...","","","Uncle survives another day","",""
"requests-charles","camp-requests","Moonshine for Charles","","Charles wants ingredients for special arrows. Best rewards!","epilogue","","Fire Arrows","YES",""
"requests-epilogue","camp-requests","Uncle\","","As John at Beecher\","epilogue","","Uncle survives another day","",""
"requests-hosea","camp-requests","The Case of the Shrew in the Fog","","Hosea wants books and medicine ingredients.","3","","Predator Bait","YES",""
"requests-jack","camp-requests","Thimble for Jack","","Little Jack wants toys and books. Available after ""A Fisher of Men"" mission.","2","","Chocolate Bar","YES",""
"requests-others","camp-requests","Other Gang Member Requests","","Various gang members have single requests. All missable after Chapter 4!","3","","Repeater Ammo","YES",""
"requests-pearson","camp-requests","Naval Compass","","Camp cook needs supplies for meals.","","","Navy Stories","YES",""
"bandit","challenge-bandit","Rank 1: Hold up 5 Townsfolk","","Aim weapon at civilians in town, demand money.","","","","",""
"bandit-1","challenge-bandit","Rank 1: Hold up 5 Townsfolk","","Aim weapon at civilians in town, demand money.","","","","",""
"bandit-10","challenge-bandit","Rank 10: Complete 5 Train Robberies","","Without dying or being caught. Stop trains in tunnels.","","","","",""
"bandit-2","challenge-bandit","Rank 2: Rob 2 Coaches or Coach Missions","","Road coaches or coach robbery missions from Alden/Hector.","","","","",""
"bandit-3","challenge-bandit","Rank 3: Rob 4 Registers in 1 Day","","Valentine, Strawberry, Rhodes, Saint Denis. Ride fast between them.","","","","",""
"bandit-4","challenge-bandit","Rank 4: Rob 3 Coaches in 1 Day","","Camp near roads with coach spawns. Fast horse helps.","","","","",""
"bandit-5","challenge-bandit","Rank 5: Amass $250 Bounty (Any State)","","Kill lawmen in one state. Pay it off after.","","","","",""
"bandit-6","challenge-bandit","Rank 6: Steal 5 Horses, Sell to Fence","","Clemens Cove horse fence (Ch3+). Steal good horses.","","","","",""
"bandit-7","challenge-bandit","Rank 7: Rob $50 From Townsfolk","","Hold up wealthy NPCs in Saint Denis. They carry more.","","","","",""
"bandit-8","challenge-bandit","Rank 8: Steal 7 Wagons, Sell to Fence","","Sell to Emerald Ranch wagon fence. Any covered wagon works.","","","","",""
"bandit-9","challenge-bandit","Rank 9: Hogtie 3 People to Train Tracks","","Hogtie, place on tracks, wait for train. Very dishonorable.","","","","",""
"explorer","challenge-explorer","Rank 1: Find Any Treasure Map","","Buy from Maximo, get from gang hideout, etc.","","","","",""
"explorer-1","challenge-explorer","Rank 1: Find Any Treasure Map","","Buy from Maximo, get from gang hideout, etc.","","","","",""
"explorer-10","challenge-explorer","Rank 10: Discover 25+ Points of Interest","","Full world exploration required.","","","","",""
"explorer-2","challenge-explorer","Rank 2: Find 1 Treasure Stash","","Complete any treasure hunt chain.","","","","",""
"explorer-3","challenge-explorer","Rank 3: Find 2 Treasure Stashes","","Jack Hall Gang + High Stakes recommended.","","","","",""
"explorer-4","challenge-explorer","Rank 4: Find 3 Treasure Stashes","","Add Poisonous Trail.","","","","",""
"explorer-5","challenge-explorer","Rank 5: Find 4 Treasure Stashes","","Add Le Tresor Des Morts.","","","","",""
"explorer-6","challenge-explorer","Rank 6: Find 5 Treasure Stashes","","All major treasure hunts complete.","","","","",""
"explorer-7","challenge-explorer","Rank 7: Discover 10 Points of Interest","","Unique locations shown in journal when found.","","","","",""
"explorer-8","challenge-explorer","Rank 8: Discover 15 Points of Interest","","Explore Ambarino and Lemoyne thoroughly.","","","","",""
"explorer-9","challenge-explorer","Rank 9: Discover 20 Points of Interest","","Use online map guides for remaining ones.","","","","",""
"gambler","challenge-gambler","Rank 1: Win 5 Poker Hands","","Flatneck Station or Valentine. Play conservatively.","","","","",""
"gambler-1","challenge-gambler","Rank 1: Win 5 Poker Hands","","Flatneck Station or Valentine. Play conservatively.","","","","",""
"gambler-10","challenge-gambler","Rank 10: Win 3 Poker Hands in a Row","","Play at low stakes. Fold when weak.","","","","",""
"gambler-2","challenge-gambler","Rank 2: Double Down (Blackjack) 5x","","Only double on 10-11. Shows confidence.","","","","",""
"gambler-3","challenge-gambler","Rank 3: Win 3 Dominoes Games","","Emerald Station is easiest. Block opponent's high numbers.","","","","",""
"gambler-4","challenge-gambler","Rank 4: Bust Poker Player (Each Location)","","Keep playing until opponent leaves broke.","","","","",""
"gambler-5","challenge-gambler","Rank 5: Win 3 Dominoes in a Row","","All Threes mode. Patience and defensive play.","","","","",""
"gambler-6","challenge-gambler","Rank 6: Blackjack with 3+ Hits (5x)","","Hit on low cards (12-16). RNG heavy but doable.","","","","",""
"gambler-7","challenge-gambler","Rank 7: Five Finger Fillet All Locations","","Beat the player at Strawberry, Valentine, and Van Horn.","","","","",""
"gambler-8","challenge-gambler","Rank 8: Win 3 Blackjack Hands (3+ Hits Each)","","Must hit 3+ times AND win. SAVE CONSTANTLY. Most frustrating challenge.","","","","",""
"gambler-9","challenge-gambler","Rank 9: Win 3 Dominoes in a Row (Again)","","All Fives this time. Very grindy.","","","","",""
"herbalist","challenge-herbalist","Rank 1: Pick 6 Yarrow","","Yellow flowers. Heartlands grasslands, very common.","epilogue","","","",""
"herbalist-1","challenge-herbalist","Rank 1: Pick 6 Yarrow","","Yellow flowers. Heartlands grasslands, very common.","","","","",""
"herbalist-10","challenge-herbalist","Rank 10: Season and Cook 11 Meat Types","","All meat types with oregano/thyme/mint. SEASONED versions count.","","","","",""
"herbalist-2","challenge-herbalist","Rank 2: Eat 4 Berry Types","","Raspberry, Blackberry, Wintergreen, Evergreen. Just eat them.","","","","",""
"herbalist-3","challenge-herbalist","Rank 3: Craft 7 Sage-Based Items","","Potent Bitters or Seasoned Meat. Sage is common.","","","","",""
"herbalist-4","challenge-herbalist","Rank 4: Feed Horse 5 Mushrooms","","Any mushroom type. Open satchel, select mushroom, feed option.","","","","",""
"herbalist-5","challenge-herbalist","Rank 5: Craft 9 Indian Tobacco Items","","Snake Oil ingredients. Indian Tobacco near rivers.","","","","",""
"herbalist-6","challenge-herbalist","Rank 6: Collect 15 Plant Species","","Explore different biomes. Desert plants in New Austin later.","","","","",""
"herbalist-7","challenge-herbalist","Rank 7: Craft 5 Special Miracle Tonics","","High-tier recipes. Buy pamphlets from Fence.","","","","",""
"herbalist-8","challenge-herbalist","Rank 8: Craft 6 Poison Weapons (Oleander)","","Poison arrows/throwing knives. Oleander grows in Bayou.","","","","",""
"herbalist-9","challenge-herbalist","Rank 9: Pick All 43 Plant Species","","REQUIRES NEW AUSTIN! Epilogue normally. Desert cactus etc.","epilogue","","","",""
"horseman","challenge-horseman","Rank 1: Kill 5 Rabbits from Horseback","","Trample them or shoot. Fields near Valentine.","epilogue","","","",""
"horseman-1","challenge-horseman","Rank 1: Kill 5 Rabbits from Horseback","","Trample them or shoot. Fields near Valentine.","","","","",""
"horseman-10","challenge-horseman","Rank 10: Break Every Wild Horse Breed","","Mustang, Nokota, American Paint, Hungarian, Morgan.","","","","",""
"horseman-2","challenge-horseman","Rank 2: Jump 3 Obstacles in 15 Seconds","","Find fence line, jump three times quickly.","","","","",""
"horseman-3","challenge-horseman","Rank 3: Valentine to Rhodes Under 5 Min","","Horse Stimulants. Take direct road. Fast horse.","","","","",""
"horseman-4","challenge-horseman","Rank 4: Drag Victim 3300 Feet","","Lasso someone, drag them while riding in big circles.","","","","",""
"horseman-5","challenge-horseman","Rank 5: Trample 5 Animals","","Gallop through rabbit/squirrel fields.","","","","",""
"horseman-6","challenge-horseman","Rank 6: Strawberry to Saint Denis (No Water)","","Under 9 minutes. Long detour around rivers. Use bridges.","","","","",""
"horseman-7","challenge-horseman","Rank 7: Kill 7 Enemies from Horseback","","Don't dismount. Gang hideout. Any weapon works.","","","","",""
"horseman-8","challenge-horseman","Rank 8: Kill 9 Predators from Horseback","","Wolves, cougars, bears. Use rifle from saddle.","","","","",""
"horseman-9","challenge-horseman","Rank 9: Van Horn to Blackwater (No Water)","","Under 17 min. REQUIRES EPILOGUE. Long detour.","epilogue","","","",""
"hunter","challenge-hunter","Rank 1: Skin 3 Deer","","Very easy. Heartlands is full of deer.","","","","",""
"hunter-1","challenge-hunter","Rank 1: Skin 3 Deer","","Very easy. Heartlands is full of deer.","","","","",""
"hunter-10","challenge-hunter","Rank 10: Hunt Legendary Panther (Giaguaro)","","This challenge UNLOCKS the Legendary Panther. Bolger Glade, dangerous.","","","","",""
"hunter-2","challenge-hunter","Rank 2: 3 Perfect Rabbit Pelts","","VARMINT RIFLE headshots only. Small game arrows work too.","","","","",""
"hunter-3","challenge-hunter","Rank 3: Track 10 Animal Species","","Study with binoculars, then follow tracks. Various biomes.","","","","",""
"hunter-4","challenge-hunter","Rank 4: Call Animal and Kill It (5x)","","Aim, press R1/RB to call, wait, headshot when it looks.","","","","",""
"hunter-5","challenge-hunter","Rank 5: Skin 3 Bears","","Black Bears (common) or Grizzlies. North of Strawberry.","","","","",""
"hunter-6","challenge-hunter","Rank 6: Kill 5 Cougars with Bow","","Poison arrows recommended. West of Owanjila, night. Save often.","","","","",""
"hunter-7","challenge-hunter","Rank 7: Use Bait to Kill Predator AND Herbivore","","Potent bait types. Place, hide, wait, shoot.","","","","",""
"hunter-8","challenge-hunter","Rank 8: Catch 3 Fish Without Fishing Rod","","Dynamite, poison arrows, or bow in shallow water.","","","","",""
"hunter-9","challenge-hunter","Rank 9: Kill Opossum Playing Dead","","They fake death when you approach. Wait for it, then shoot.","","","","",""
"sharp-1","challenge-sharpshooter","Rank 1: Kill 3 Flying Birds","","Shotgun makes this easy. Ducks, crows, any birds.","","","","",""
"sharp-10","challenge-sharpshooter","Rank 10: 3 Birds with 3 Consecutive Rifle Shots","","Long scoped rifle. Wait for birds to bunch up in air.","","","","",""
"sharp-2","challenge-sharpshooter","Rank 2: Kill 2 Species in 1 Dead Eye","","Deer + coyote or bird + rabbit. Tag both, execute.","","","","",""
"sharp-3","challenge-sharpshooter","Rank 3: Kill 5 Birds from Moving Train","","Ride on roof. Shotgun or repeater. Plenty of birds fly by.","","","","",""
"sharp-4","challenge-sharpshooter","Rank 4: Kill Enemy from 80ft (Tomahawk)","","Homing Tomahawk on stationary target. Gang hideout.","","","","",""
"sharp-5","challenge-sharpshooter","Rank 5: Kill 6 Animals (No Reload/Switch)","","Varmint rifle, field of rabbits. Or bow in deer area.","","","","",""
"sharp-6","challenge-sharpshooter","Rank 6: Kill Enemy from 660ft+","","Carcano Rifle + long scope. Find long sightline, any camp.","","","","",""
"sharp-7","challenge-sharpshooter","Rank 7: Get 7 Headshots in a Row","","Dead Eye + gang hideout. Easy with practice.","","","","",""
"sharp-8","challenge-sharpshooter","Rank 8: Disarm 3 Enemies (No Reload)","","Aim for gun hand in Dead Eye. Need precise aim.","","","","",""
"sharp-9","challenge-sharpshooter","Rank 9: Shoot 3 Hats Off (Same Dead Eye)","","Tag 3 heads high, don't kill. Town works well.","","","","",""
"sharpshooter","challenge-sharpshooter","Rank 1: Kill 3 Flying Birds","","Shotgun makes this easy. Ducks, crows, any birds.","","","","",""
"survivalist","challenge-survivalist","Rank 1: Catch 3 Bluegill","","Common fish. Any lake with bread/cheese bait.","","","","",""
"survivalist-1","challenge-survivalist","Rank 1: Catch 3 Bluegill","","Common fish. Any lake with bread/cheese bait.","","","","",""
"survivalist-10","challenge-survivalist","Rank 10: Catch All Fish Species","","All 13 fish types. Different lures for different fish.","","","","",""
"survivalist-2","challenge-survivalist","Rank 2: Donate 5 Animals to Camp/Trapper","","Hand in carcasses or pelts at camp or Trapper.","","","","",""
"survivalist-3","challenge-survivalist","Rank 3: Kill 5 Animals with Varmint Rifle","","Rabbits, squirrels, birds. Easy headshots.","","","","",""
"survivalist-4","challenge-survivalist","Rank 4: Craft All Arrow Types","","Dynamite, Fire, Poison, Improved, Small Game. Buy pamphlets.","","","","",""
"survivalist-5","challenge-survivalist","Rank 5: Catch Fish from Boat + Railroad Tracks","","Bayou riverboat, then stand on railroad over water. Unique locations.","","","","",""
"survivalist-6","challenge-survivalist","Rank 6: Kill Scavenging Animal 5 Times","","Kill coyote/vulture while it's eating a corpse.","","","","",""
"survivalist-7","challenge-survivalist","Rank 7: 8 Small Game Kills (Small Game Arrows)","","Consecutive kills. Rabbits/squirrels. Don't miss!","","","","",""
"survivalist-8","challenge-survivalist","Rank 8: Craft Special Throwables","","Homing Tomahawk, Improved Tomahawk, Volatile Dynamite, Volatile Fire Bottle.","","","","",""
"survivalist-9","challenge-survivalist","Rank 9: Catch Fish Over 19 Pounds","","Legendary fish or big Muskie/Pike. Special lures.","","","","",""
"weapons-expert","challenge-weapons-expert","Rank 1: Kill 3 Enemies with a Knife","","Use melee knife attacks. Any enemies work.","","","","",""
"weapons-expert-1","challenge-weapons-expert","Rank 1: Kill 3 Enemies with a Knife","","Use melee knife attacks. Any enemies work.","","","","",""
"weapons-expert-10","challenge-weapons-expert","Rank 10: Kill Grizzly Bear (Throwing Knives, No Damage)","","Very hard! Use cover, Dead Eye, and patience.","","","","",""
"weapons-expert-2","challenge-weapons-expert","Rank 2: Kill 3 Enemies in 10 Seconds (Throwing Knives Only)","","Dead Eye helps. Camp raids work well.","","","","",""
"weapons-expert-3","challenge-weapons-expert","Rank 3: Kill 3 Birds of Prey Using a Tomahawk","","Hawks/eagles. Use Homing Tomahawk. Very difficult!","","","","",""
"weapons-expert-4","challenge-weapons-expert","Rank 4: Kill 10 Enemies with Shotgun (Crafted Ammo)","","Use Slug, Incendiary, or Explosive shells.","","","","",""
"weapons-expert-5","challenge-weapons-expert","Rank 5: Kill 5 Mounted Enemies (1 Throwing Knife Each)","","One knife per kill. Target riders, not horses.","","","","",""
"weapons-expert-6","challenge-weapons-expert","Rank 6: Kill 4 Enemies with Single Dynamite Stick","","Lure enemies together. Gang hideouts work best.","","","","",""
"weapons-expert-7","challenge-weapons-expert","Rank 7: Kill 4 Consecutive Enemies (Same Tomahawk)","","Throw, retrieve, repeat 4 times. Don't miss!","","","","",""
"weapons-expert-8","challenge-weapons-expert","Rank 8: Kill 15 Enemies (Long-Barreled Sidearm)","","Mauser, Semi-Auto, or Volcanic Pistol with long barrel.","","","","",""
"weapons-expert-9","challenge-weapons-expert","Rank 9: Kill 9 Unaware Enemies from Behind (Bow)","","Stealth kills. Sneak up at camps.","","","","",""
"collect-cig","collectibles","Cigarette Cards (144 Total - 12 Sets)","","See ""Cigarette Cards"" section for all 12 sets with 12 cards each.","","","Vintage Civil War Handcuffs + cash","",""
"collect-dino","collectibles","Dinosaur Bones (30 Total)","","See ""A Test of Faith"" in Stranger Missions. Full detailed list there.","","","Jawbone Knife + Quartz Chunk","",""
"collect-dreamcatchers","collectibles","Dreamcatchers (20 Total)","","Hanging in trees. Collect all 20 for map leading to Ancient Arrowhead (slower bow stamina drain).","","","Ancient Arrowhead","",""
"collect-exotics","collectibles","Exotic Quest (Duchesses and Other Animals)","","📍 Algernon Wasp - Greenhouse N of Saint Denis. Chapter 4+ after ""The Gilded Cage"". Very grindy!","","","Algernon's Revolver + Exotic Hat + $200","",""
"collect-graves","collectibles","Graves (9 Total)","","See ""Gang Member Graves"" section. Visit all 9 for ""Paying Respects"" achievement.","","","Paying Respects Trophy","",""
"collect-hunting","collectibles","Hunting Requests (5 Total)","","See ""Hunting Requests"" in Stranger Missions. Perfect small game carcasses.","","","Squirrel Statue","",""
"collect-points-interest","collectibles","Points of Interest","","Discover unique locations that get marked on your map. 50+ total.","","","Compendium entries","",""
"collect-rock","collectibles","Rock Carvings (10 Total)","","See ""Geology for Beginners"" in Stranger Missions. Full detailed list there.","","","Old Brass Compass (Raven Talisman ingredient)","",""
"collectibles","collectibles","Dreamcatchers (20 Total)","","Hanging in trees. Collect all 20 for map leading to Ancient Arrowhead (slower bow stamina drain).","","","Ancient Arrowhead","",""
"dream-01","collectibles","Flatneck Station West","","Hill west of Flatneck Station, in a tree","","","","",""
"dream-02","collectibles","Caliban's Seat West","","Near road junction, tree facing north","","","","",""
"dream-03","collectibles","Dakota River South Bank","","On a ledge facing the river, near legendary fish spot","","","","",""
"dream-04","collectibles","Heartland Overflow","","Large leafless tree near overflow area","","","","",""
"dream-05","collectibles","Heartland Hills","","Large standalone leafless tree","","","","",""
"dream-06","collectibles","Grizzlies SE","","On mountain path, past fallen tree","","","","",""
"dream-07","collectibles","Cotorra Springs East","","Biggest tree in small thicket","","","","",""
"dream-08","collectibles","Near The Loft","","South of The Loft, only bare tree on right side","","","","",""
"dream-09","collectibles","Snowy Peak","","Clump of trees after crossing river, heading NNW","","","","",""
"dream-10","collectibles","Campfire Area","","Big tree behind log and small stump","","","","",""
"dream-11","collectibles","Annesburg North 1","","In a clearing north of Annesburg","","","","",""
"dream-12","collectibles","Annesburg North 2","","Edge of road just north of town","","","","",""
"dream-13","collectibles","Annesburg SE","","Top of hill southeast of Annesburg","","","","",""
"dream-14","collectibles","Annesburg South","","Middle of tree group off road","","","","",""
"dream-15","collectibles","Roanoke Ridge Hill","","Tree that does not stand out, higher up","","","","",""
"dream-16","collectibles","Elysian Pool South","","Big tree by a bush south of pool","","","","",""
"dream-17","collectibles","Bluewater Marsh NE","","Tree at path fork in marsh","","","","",""
"dream-18","collectibles","Lonnie's Shack North","","On a path north of the shack","","","","",""
"dream-19","collectibles","Aberdeen Pig Farm West","","Hill west of the creepy farm","","","","",""
"dream-20","collectibles","Elysian Pool Area","","Beyond old house foundation. LAST ONE → Get Map!","","","","",""
"exotic-complete","collectibles","✨ COMPLETE → Get Rewards!","","🎁 Return to Algernon for: Algernon\","","","","",""
"exotic-p1-egret-little","collectibles","Little Egret Plumes (5)","","White egrets in Bayou Nwa. Varmint Rifle headshot. Farm near Lagras.","","","","",""
"exotic-p1-egret-reddish","collectibles","Reddish Egret Plumes (5)","","Scarlett Meadows coastline. Reddish colored birds.","","","","",""
"exotic-p1-lady","collectibles","Lady of the Night Orchids (15)","","📍 Trees in Bayou Nwa southern shore, N of Kamassa River, Caliga Hall area.","","","","",""
"exotic-p2-egret-snowy","collectibles","Snowy Egret Plumes (5)","","Farm Bayou Nwa → Rhodes → Emerald Station fast travel → sleep → return.","","","","",""
"exotic-p2-moccasin","collectibles","Moccasin Flower Orchids (10)","","📍 GROUND orchids around Butcher Creek, Roanoke Ridge.","","","","",""
"exotic-p2-slipper","collectibles","Lady Slipper Orchids (7)","","📍 GROUND orchids in Big Valley, West Elizabeth.","","","","",""
