id,section,text,tip_short,tip_detailed,chapter,region,reward,missable,verified,notes
"weapon-rare-shotgun","weapons","Rare Shotgun ⭐","📍 Manito Glade hermit → 💀 Attacks on sight!","A grumpy hermit guards this unique double-barrel at Manito Glade, northeast of Annesburg. He'll shoot first, partner. Put him down and claim your prize.","2","new-hanover","Rare Shotgun (unique double-barrel)","","YES","One-time encounter, unique weapon"
"weapon-pump-shotgun-free","weapons","Pump Shotgun (Free)","📍 Chez Porter cabin → Weapon case in bedroom","Ride up to Chez Porter near Window Rock, north of Valentine. In the master bedroom you'll find a weapon case with a free Pump Shotgun inside.","2","ambarino","Pump Shotgun","","YES","Alternative to buying at gunsmith"
"weapon-rare-rolling-block","weapons","Rare Rolling Block Rifle ⚠️","⚠️ Ch3 mission → Kill barn bounty hunter FAST","During 'Magicians For Sport' in Chapter 3, shoot the bounty hunter in the barn quick-like before he escapes. Loot his body for this rare rifle.","3","new-hanover","Rare Rolling Block Rifle (unique)","YES","YES","MISSABLE - only chance in mission"
"weapon-worn-rolling-block","weapons","Worn Rolling Block Rifle","📍 O'Driscoll camp → W of Heartland Oil Fields","Find the O'Driscoll camp west of Heartland Oil Fields. A dead fella near the campfire's got a Worn Rolling Block Rifle on him.","2","new-hanover","Worn Rolling Block Rifle","","YES","Free early sniper rifle"
"weapon-pump-shotgun","weapons","Pump Shotgun (Story)","📦 Auto: 'Paying a Social Call' mission","You'll get this fine shotgun during the 'Paying a Social Call' mission in Chapter 2. The O'Driscolls were kind enough to donate it.","2","new-hanover","Pump Shotgun","","YES","Auto-obtained during mission"
"weapon-bolt-action","weapons","Bolt Action Rifle","📍 Ch2 mission → Kill LEFT bounty hunter quick","During 'The First Shall Be Last' mission, shoot the bounty hunter on the LEFT side fast before he gets away. Loot that Bolt Action Rifle from his corpse.","2","new-hanover","Bolt Action Rifle","","YES","Quick trigger finger needed"
"weapon-varmint-rifle","weapons","Varmint Rifle (Free)","📍 Bayou near Lakay → Submerged corpse","Wade into the murky waters near Lakay in the Bayou. Use Eagle Eye to spot a submerged corpse with a Varmint Rifle. Near the 'U' on the map.","2","lemoyne","Varmint Rifle","","YES","Alternative to buying"
"weapon-m1899-pistol","weapons","M1899 Pistol","📍 Saint Denis gunsmith → Ch4+","After Chapter 4 begins, the Saint Denis gunsmith stocks this modern semi-auto pistol. Most advanced firearm in the game, partner.","4","lemoyne","M1899 Pistol","","YES","Not available before Ch4"
"weapon-double-barrel","weapons","Double-Barrel Shotgun","📦 Auto: Hosea's debt collection","Hosea's debt collection tutorial in Chapter 2 rewards you with this trusty Double-Barrel Shotgun. First debt, first shotgun.","2","new-hanover","Double-Barrel Shotgun","","YES","Auto-obtained during mission"
"weapon-viking-hatchet","weapons","Viking Hatchet ⭐","📍 Viking tomb, Roanoke Ridge → In skull","Seek the ancient Viking tomb in Roanoke Ridge, northwest of Annesburg. Inside that forgotten cave lies a Norse hatchet embedded in a warrior's skull.","2","new-hanover","Viking Hatchet (unique melee)","","YES","Also contains Viking Helmet + Comb"
"weapon-ancient-tomahawk","weapons","Ancient Tomahawk","📍 Calumet Ravine → Stuck in wooden target","Near Wapiti Reservation in Calumet Ravine, look for a wooden target on a tree. This ancient tomahawk's been lodged in it for who knows how long.","2","ambarino","Ancient Tomahawk (unique)","","YES","Native American artifact"
"weapon-hunter-hatchet","weapons","Hunter Hatchet","📍 S of Window Rock → Tree stump at campsite","South of Window Rock in the Grizzlies, find a small campsite. Someone left their Hunter Hatchet stuck in a tree stump.","2","ambarino","Hunter Hatchet","","YES","Free hatchet variant"
"weapon-double-bit-hatchet","weapons","Double Bit Hatchet","📍 NW of Wallace Station → Tree stump by road","Head northwest of Wallace Station, west of the Dakota River. A Double Bit Hatchet waits in a tree stump near the road.","2","ambarino","Double Bit Hatchet","","YES","Two-sided blade"
"weapon-hewing-hatchet","weapons","Hewing Hatchet","📍 Flattened Cabin → S of Moonstone Pond","Find the cabin crushed by a boulder at the south edge of Moonstone Pond. Poor souls inside, but the Hewing Hatchet survived.","2","ambarino","Hewing Hatchet","","YES","Woodworking tool variant"
"weapon-rusted-double-bit","weapons","Rusted Double Bit Hatchet","📍 Annesburg → Tree stump near mine entrance","In the mining town of Annesburg, check the tree stump near the coal mine entrance. A rusted but usable Double Bit Hatchet is stuck in it.","2","new-hanover","Rusted Double Bit Hatchet","","YES","Weathered variant"
"weapon-rusted-hunter","weapons","Rusted Hunter Hatchet","📍 Martha's Swain area → Between pools","Search the Martha's Swain area between Elysian Pool and O'Creagh's Run. A Rusted Hunter Hatchet awaits in a tree stump.","2","new-hanover","Rusted Hunter Hatchet","","YES","Weathered variant"
"weapon-broken-pirate-sword","weapons","Broken Pirate Sword ⭐","📍 Shipwreck island → S of Saint Denis bridge","Row out to the shipwreck island south of the Saint Denis bridge. On a skeleton inside the boat, you'll find this relic of the pirate age.","2","lemoyne","Broken Pirate Sword (unique)","","YES","Pirate themed collectible"
"weapon-civil-war-knife","weapons","Civil War Knife","📍 Fort Brennand basement → SW of Van Horn","Explore the ruins of Fort Brennand southwest of Van Horn. In the basement with the Civil War Hat, you'll find this historical blade.","2","new-hanover","Civil War Knife (unique)","","YES","Also contains Civil War Hat"
"weapon-antler-knife","weapons","Antler Knife","📍 Near Hanging Dog Ranch → Dead hunter's body","Near Hanging Dog Ranch, find the grisly scene of a hunter killed by a grizzly bear. Search his body for this distinctive Antler Knife.","2","west-elizabeth","Antler Knife (unique)","","YES","Grizzly attack victim"
"weapon-wide-blade-knife","weapons","Wide Blade Knife","📍 Beryl's Dream Mine → Deep inside on corpse","Venture deep into Beryl's Dream Mine west of Mount Shann. A poor miner's corpse holds this Wide Blade Knife.","2","west-elizabeth","Wide Blade Knife (unique)","","YES","Miner's knife"
"weapon-ornate-dagger","weapons","Ornate Dagger ⭐","📍 Saint Denis vampire → 5 graffiti + midnight","Hunt the vampire of Saint Denis. Find all 5 graffiti clues around the city, then face him at midnight in the back alley. His Ornate Dagger is your trophy.","2","lemoyne","Ornate Dagger (unique)","","YES","Vampire encounter reward"
"weapon-jawbone-knife","weapons","Jawbone Knife","📦 Collect ALL 30 dinosaur bones → Mail reward","Collect all 30 dinosaur bones scattered across the land and mail them to Deborah MacGuiness. She'll send this prehistoric Jawbone Knife as thanks.","2","","Jawbone Knife (unique)","","YES","Dinosaur bones quest reward"
"weapon-electric-lantern","weapons","Electric Lantern","📍 Marko Dragic lab → Complete Part 2","Complete 'A Bright Bouncing Boy' Part 2 at Marko Dragic's laboratory near Doverhill. This electric lantern shines brighter than any oil lamp.","4","new-hanover","Electric Lantern (upgrade)","","YES","Stranger mission reward"
"weapon-ancient-arrowhead","weapons","Ancient Arrowhead","📍 Elysian Pool cave → Collect all 20 Dreamcatchers","Find all 20 dreamcatchers, then seek the cave behind Elysian Pool waterfall. The Ancient Arrowhead reduces stamina drain when using a bow.","2","new-hanover","Ancient Arrowhead (bow upgrade)","","YES","Dreamcatcher quest reward"
"jack-hall-1","treasures","Jack Hall Map 1: Buy from Maximo","📍 Cliff NW of Flatneck → $10 or rob him","Find the treasure hunter Maximo on a cliff overlooking the Dakota River, north of Bard's Crossing. He'll sell the map for $10, or you can rob the scoundrel.","2","new-hanover","Jack Hall Gang Map 1","","YES","Can haggle to $5"
"jack-hall-2","treasures","Jack Hall Map 2: Caliban's Seat","📍 Caliban's Seat → Hole in white granite cliff","Head to Caliban's Seat, that distinctive rock formation. Climb from the southeast side, then descend to a ledge with a hole in the white granite cliff.","2","new-hanover","Jack Hall Gang Map 2","","YES","South of Valentine"
"jack-hall-3","treasures","Jack Hall Map 3: Cotorra Springs","📍 Cotorra Springs → Central rock pile","Ride to Cotorra Springs and search the western side among those stacked rocks. The next map hides in the central rock pile. Pearl Necklace bonus nearby.","2","ambarino","Jack Hall Gang Map 3","","YES","Geyser area"
"jack-hall-final","treasures","Jack Hall TREASURE: O'Creagh's Run","📍 Island in lake → Under rock on SE side → 2 GOLD BARS","Swim out to that small island in O'Creagh's Run lake. Search under the rock on the southeast side. Two gold bars worth $1000 await, partner.","2","new-hanover","2 Gold Bars ($1000)","","YES","Final reward"
"high-stakes-1","treasures","High Stakes Map 1: Save/Rob Stranger","📍 Random encounter → Treasure hunter on cliff","After Chapter 3, you may encounter a treasure hunter hanging from a cliff near Cumberland Falls. Save him or let him fall and loot the body.","3","new-hanover","High Stakes Map 1","","YES","Random encounter after Ch3"
"high-stakes-2","treasures","High Stakes Map 2: Cumberland Falls","📍 Behind the waterfall → Cave on LEFT side","Cumberland Falls hides secrets behind its waters. Climb the rocks on the LEFT side and enter the cave behind the falls. Chest against the wall.","2","new-hanover","High Stakes Map 2","","YES","Bring a lantern"
"high-stakes-3","treasures","High Stakes Map 3: Barrow Lagoon","📍 Frozen pond NE of Mount Hagen → Under fallen tree","Head to Barrow Lagoon, that frozen pond in Ambarino. Search under the fallen tree on the east shore for the final map.","2","ambarino","High Stakes Map 3","","YES","Near Colter"
"high-stakes-final","treasures","High Stakes TREASURE: Above Fort Wallace","📍 Cliff ABOVE fort → Jump down carefully → 3 GOLD BARS","Don't enter Fort Wallace! The treasure's on the cliff ABOVE the fort on the east side. Jump down careful-like. Three gold bars worth $1500!","2","new-hanover","3 Gold Bars ($1500)","","YES","Stay out of the fort"
"poison-1","treasures","Poisonous Trail Map 1: Cairn Lake Cabin","📍 Cairn Lake cabin → Lockbox under bed","Travel to that frozen Cairn Lake southeast of Colter. Inside the small cabin, check the lockbox under the bed for the first map.","2","ambarino","Poisonous Trail Map 1","","YES","Same location as Flaco"
"poison-2","treasures","Poisonous Trail Map 2: Face Rock","📍 Face Rock N of Rhodes → Burned tree stump at base","Find 'Face Rock' - that giant face carved in stone north of Rhodes. Look for a burned-out tree stump at the base of the ramp for the next map.","2","lemoyne","Poisonous Trail Map 2","","YES","West of Ringneck Creek"
"poison-3","treasures","Poisonous Trail Map 3: Serpent Mound","📍 Snake mound W of Van Horn → Rock pile on top","Seek the serpent-shaped mound with the watchtower, west of Van Horn. The map hides in a rock pile at the top of the snake formation.","2","new-hanover","Poisonous Trail Map 3","","YES","Also called Serpent Mound"
"poison-final","treasures","Poisonous Trail TREASURE: Elysian Pool Cave","📍 Cave behind waterfall → BRING LANTERN → 4 GOLD BARS","The Elysian Pool waterfall conceals a treacherous cave system. Bring your lantern, crawl through cracks, make dangerous jumps. Four gold bars - $2000 at the end!","2","new-hanover","4 Gold Bars ($2000)","","YES","Highest treasure payout"
"le-tresor-1","treasures","Le Tresor Map 1: Limpany Ruins","📍 Limpany jailhouse → Corpse inside","Head to the burned town of Limpany. The jailhouse still stands - a corpse inside holds the first map.","2","new-hanover","Le Tresor Map 1","","YES","Special/Ultimate Edition only"
"le-tresor-2","treasures","Le Tresor Map 2: Saint Denis Docks","📍 Cornwall Freight underground → Wall near crate","Find the underground passage at Cornwall Freight Station connecting the yard to the harbor. Check the wall near a wooden crate.","2","lemoyne","Le Tresor Map 2","","YES","Special/Ultimate Edition only"
"le-tresor-final","treasures","Le Tresor TREASURE: Cemetery Mausoleum","📍 Saint Denis Cemetery → Mausoleum left wall → 6 GOLD BARS","In the Saint Denis Cemetery, find the mausoleum with stained glass west of the central dome. Inspect the left wall. Six gold bars - $3000!","2","lemoyne","6 Gold Bars ($3000)","","YES","Special/Ultimate Edition only"
"elemental-1","treasures","Elemental Trail Tree 1: Window Rock","📍 Near Window Rock → Tree with Earth symbol","Search near Window Rock for a tree carved with an elemental symbol (Earth). The trail begins here.","2","ambarino","Elemental clue 1","","YES","Start of elemental hunt"
"elemental-2","treasures","Elemental Trail Tree 2: Elysian Pool","📍 Elysian Pool area → Tree with Water symbol","Another carved tree awaits in the Elysian Pool area, marked with the Water symbol. Follow the pattern.","2","new-hanover","Elemental clue 2","","YES","Second elemental marker"
"elemental-3","treasures","Elemental Trail Tree 3: Fort Brennand","📍 Fort Brennand area → Tree with Fire symbol","The third carved tree bears the Fire symbol, found in the Fort Brennand area. All elements combine at the summit.","2","new-hanover","Elemental clue 3","","YES","Third elemental marker"
"elemental-final","treasures","Elemental TREASURE: Mount Shann Sundial","📍 Mount Shann summit → Behind sundial → 2 GOLD BARS","Climb to the summit of Mount Shann. Behind that mysterious sundial structure, two gold bars worth $1000 await.","2","west-elizabeth","2 Gold Bars ($1000)","","YES","Also has UFO easter egg"
"mended-1","treasures","Torn Map Half 1: Manito Glade Hermit","📍 Manito Glade cabin → Hostile hermit → Check drawer","The first map half is at Manito Glade, north of Annesburg. That aggressive hermit with the shotgun guards it. Check the drawer inside.","2","new-hanover","Torn Map Half 1","","YES","Same hermit as Rare Shotgun"
"mended-2","treasures","Torn Map Half 2: Little Creek Hermit","📍 NW West Elizabeth → Hermit woman → Check inside","The second half lies in a cabin northwest of West Elizabeth, along Little Creek River. Another hostile hermit. Search inside.","2","west-elizabeth","Torn Map Half 2","","YES","Female hermit"
"mended-final","treasures","Torn Map TREASURE: Cholla Springs Cave","⚠️ EPILOGUE ONLY → Cholla Springs → Otis Miller's Revolver","Combine the map halves and head to Cholla Springs in New Austin during the Epilogue. Otis Miller's legendary revolver and some... interesting photos await.","epilogue","new-austin","Otis Miller's Revolver + 5 photos","","YES","Epilogue required"
"treasure-statues","treasures","Strange Statues Puzzle","📍 Cave behind Window Rock → Press 2,3,5,7 → 3 GOLD BARS","Find the cave behind Window Rock with its seven mysterious statues. Press only the prime numbers - 2, 3, 5, 7. Three gold bars worth $1500!","2","ambarino","3 Gold Bars ($1500)","","YES","Math puzzle"
"treasure-train-wreck","treasures","Train Wreck Gold Bar","📍 N of Cotorra Springs → Wrecked train → Baggage car lockbox","North of Cotorra Springs, a wrecked train lies in the gorge. Search the baggage car for a lockbox containing one gold bar.","2","ambarino","1 Gold Bar ($500)","","YES","Easy early gold"
"treasure-limpany","treasures","Limpany Sheriff Gold Bar","📍 Limpany burned town → Sheriff desk lockbox → May respawn","The burned town of Limpany holds treasure in the sheriff's office. Check the desk lockbox. Some say this gold bar respawns!","2","new-hanover","1 Gold Bar ($500)","","YES","May respawn after time"
"treasure-braithwaite","treasures","Braithwaite Manor Gold Bar","📍 After manor burns (Ch4) → Search ruins carefully","After Braithwaite Manor burns in Chapter 4, return and search the ruins carefully. A lockbox with one gold bar hides in the rubble.","4","lemoyne","1 Gold Bar ($500)","","YES","Requires manor to burn first"
"leg-bear","legendary-animals","Legendary Bharati Grizzly Bear","📍 N of O'Creagh's Run → After Ch2 mission → 💀 AGGRESSIVE","This massive grizzly roams Grizzlies East, north of O'Creagh's Run. Only appears after 'Exit Pursued By a Bruised Ego'. Use a high-powered rifle and aim for the head, partner.","2","ambarino","Bear Claw Talisman (Health core -10%)","","YES","Unlocked after Hosea hunting mission"
"leg-bison-white","legendary-animals","Legendary White Bison","📍 Lake Isabella NW corner → Near Mount Hagen","Seek this majestic white bison at the frozen shores of Lake Isabella, northwest corner near Mount Hagen. One clean headshot with a rifle'll do the job.","2","ambarino","White Bison Hat (Trapper)","","YES","Cold weather gear recommended"
"leg-wolf","legendary-animals","Legendary Wolf","📍 Cotorra Springs geysers → Best at dawn","Hunt this legendary beast among the geysers at Cotorra Springs. Track him at dawn for best results. Use a sniper for the first shot, then finish with Dead Eye.","2","ambarino","Wolf Heart Trinket (2x alcohol resistance)","","YES","Pack may attack"
"leg-ram","legendary-animals","Legendary Bighorn Ram","📍 E of Cattail Pond → Near Valentine","This magnificent ram roams east of Cattail Pond, not far from Valentine. Use a bow or rifle headshot. Cover scent helps you get close.","2","new-hanover","Ram Horn Trinket (2x herb collection)","","YES","Doubles Oregano, Thyme, Mint"
"leg-elk","legendary-animals","Legendary Elk","📍 E of Bacchus Station → Cumberland Forest","Track this legendary elk east of Bacchus Station in Cumberland Forest. A Springfield rifle or bow to the vitals will bring him down clean.","2","new-hanover","Elk Antler Trinket (+10% loot money)","","YES","Large target, easy hunt"
"leg-buck","legendary-animals","Legendary Buck ⭐ HUNT FIRST!","📍 Black Bone Forest NW of Strawberry → PRIORITY!","Hunt this buck FIRST, partner! The Buck Antler Trinket gives better pelt quality from all animals. Find him in Black Bone Forest, northwest of Strawberry.","2","west-elizabeth","Buck Antler Trinket (better pelts)","","YES","PRIORITY - affects all future hunts"
"leg-coyote","legendary-animals","Legendary Coyote","📍 Scarlett Meadows → Near Dewberry Creek NW of Rhodes","This quick coyote prowls Scarlett Meadows near Dewberry Creek, northwest of Rhodes. He's fast - use a Springfield for a one-shot kill.","2","lemoyne","Coyote Fang Trinket (+10% Dead Eye XP)","","YES","Small and fast target"
"leg-fox","legendary-animals","Legendary Fox","📍 Mattock Pond → North of Rhodes","Hunt this elusive fox near Mattock Pond, north of Rhodes. It's a small target - Varmint Rifle or bow works best. Quick and quiet.","2","lemoyne","Fox Claw Trinket (+5s Eagle Eye)","","YES","Small target"
"leg-boar","legendary-animals","Legendary Boar","📍 Bluewater Marsh → North of Lagras","This tough boar roots around Bluewater Marsh, north of Lagras. A Springfield rifle or poison arrows work well against his thick hide.","2","lemoyne","Boar Tusk Talisman (horse cores -10%)","","YES","Watch for gators nearby"
"leg-beaver","legendary-animals","Legendary Beaver","📍 Butcher Creek area → West of Van Horn → Albino","Find this rare albino beaver near Butcher Creek, west of Van Horn, by the large beaver dam. Varmint Rifle for a one-shot clean kill.","2","new-hanover","Beaver Tooth Trinket (-10% weapon degradation)","","YES","Albino variant"
"leg-alligator","legendary-animals","Legendary Bullgator","📍 Lakay, Bayou Nwa → ⚠️ CHAPTER 4+ ONLY → 💀 TOUGH","This monstrous gator lurks near Lakay in Bayou Nwa. Only spawns after Chapter 4's 'Country Pursuits'. Bring a Rolling Block Rifle AND shotgun backup!","4","lemoyne","Alligator Tooth Talisman (Dead Eye core -10%)","","YES","One of the toughest fights"
"leg-panther","legendary-animals","Legendary Giaguaro Panther","📍 Bolger Glade → S of Braithwaite → Master Hunter 9!","This deadly cat hunts in Bolger Glade, south of Braithwaite Manor. You MUST reach Master Hunter Rank 9 first. Extremely dangerous - Dead Eye essential!","2","lemoyne","Panther Eye Trinket (-10% Dead Eye drain)","","YES","Requires Master Hunter Rank 9"
"leg-moose","legendary-animals","Legendary Moose","📍 Brandywine Drop NE corner → RARE SPAWN","This legendary moose roams near Brandywine Drop in the northeast corner of the map. Rare spawn - camp nearby and sleep repeatedly until he appears.","2","new-hanover","Moose Antler Trinket (+10% Health XP)","","YES","Notoriously rare spawn"
"leg-cougar","legendary-animals","Legendary Cougar","⚠️ EPILOGUE → Gaptooth Ridge W of Tumbleweed → 💀 DEADLY","This fearsome cougar stalks Gaptooth Ridge, west of Tumbleweed. Only accessible in Epilogue. Very deadly - use Dead Eye and a shotgun!","epilogue","new-austin","Cougar Fang Trinket (+10% Stamina XP)","","YES","Epilogue only - very aggressive"
"leg-pronghorn","legendary-animals","Legendary Pronghorn","⚠️ EPILOGUE → Del Lobo Rock SE of Fort Mercer","This swift pronghorn runs near Del Lobo Rock, southeast of Fort Mercer. Only in Epilogue. He's fast - sniper rifle essential for long range.","epilogue","new-austin","Pronghorn Horn Trinket (carcasses don't rot)","","YES","Epilogue only - fastest animal"
"leg-bison-tatanka","legendary-animals","Legendary Tatanka Bison","⚠️ EPILOGUE → Hennigan's Stead → SE of MacFarlane's","This massive bison grazes in Hennigan's Stead, southeast of MacFarlane's Ranch. Epilogue only. Docile but tough - multiple headshots needed.","epilogue","new-austin","Tatanka Bison Horn Trinket (-10% melee damage)","","YES","Epilogue only - docile"
"fish-bluegill","legendary-animals","Legendary Bluegill","📍 Flat Iron Lake near Rhodes → Special Lake Lure","Cast your line in Flat Iron Lake near Rhodes for this legendary bluegill. Use the Special Lake Lure from the bait shop.","2","lemoyne","Legendary Bluegill","","YES","Mail to Jeremy Gill"
"fish-bass-large","legendary-animals","Legendary Largemouth Bass","⚠️ EPILOGUE → San Luis River → Special Lake Lure","This legendary bass swims the San Luis River in New Austin. Epilogue access required. Special Lake Lure.","epilogue","new-austin","Legendary Largemouth Bass","","YES","Epilogue only"
"fish-bass-small","legendary-animals","Legendary Smallmouth Bass","📍 Owanjila Lake near Strawberry → Special Lake Lure","Fish for this legendary bass at Owanjila Lake near Strawberry. Special Lake Lure required.","2","west-elizabeth","Legendary Smallmouth Bass","","YES","Mail to Jeremy Gill"
"fish-bass-rock","legendary-animals","Legendary Rock Bass","📍 Aurora Basin → Tall Trees → Special Lake Lure","Cast in Aurora Basin in Tall Trees for this legendary rock bass. Special Lake Lure.","2","west-elizabeth","Legendary Rock Bass","","YES","Mail to Jeremy Gill"
"fish-bass-striped","legendary-animals","Legendary Striped Bass","⚠️ EPILOGUE → Rio Bravo, New Austin → Special River Lure","This legendary striped bass lurks in Rio Bravo's waters. Epilogue access required. Use Special River Lure.","epilogue","new-austin","Legendary Striped Bass","","YES","Epilogue only"
"fish-perch","legendary-animals","Legendary Perch","📍 Elysian Pool → Roanoke Ridge → Special Lake Lure","Drop a line in Elysian Pool in Roanoke Ridge for this legendary perch. Special Lake Lure needed.","2","new-hanover","Legendary Perch","","YES","Mail to Jeremy Gill"
"fish-pickerel","legendary-animals","Legendary Chain Pickerel","📍 Dakota River near Valentine → Special River Lure","Fish the Dakota River near Valentine for this legendary pickerel. Special River Lure required.","2","new-hanover","Legendary Chain Pickerel","","YES","Mail to Jeremy Gill"
"fish-muskie","legendary-animals","Legendary Muskie","📍 O'Creagh's Run → Same lake as Hamish → Special Lake Lure","This legendary muskie swims in O'Creagh's Run - same lake where you meet Hamish. Special Lake Lure.","2","new-hanover","Legendary Muskie","","YES","Near Hamish's cabin"
"fish-gar","legendary-animals","Legendary Longnose Gar","📍 Lagras → Bayou Nwa swamp → Special Swamp Lure","Hunt this legendary gar in the murky waters near Lagras in Bayou Nwa. Special Swamp Lure essential.","2","lemoyne","Legendary Longnose Gar","","YES","Swamp fishing"
"fish-salmon","legendary-animals","Legendary Sockeye Salmon","📍 Lake Isabella → Far north → Special Lake Lure","Brave the frozen north and fish Lake Isabella for this legendary salmon. Dress warm. Special Lake Lure.","2","ambarino","Legendary Sockeye Salmon","","YES","Cold weather area"
"fish-steelhead","legendary-animals","Legendary Steelhead Trout","📍 Willard's Rest → Near Charlotte's cabin → Special River Lure","Cast at Willard's Rest, near Charlotte's cabin, for this legendary trout. Special River Lure.","2","new-hanover","Legendary Steelhead Trout","","YES","Near Charlotte mission"
"fish-sturgeon","legendary-animals","Legendary Lake Sturgeon","📍 Flat Iron Lake → South of Rhodes → Special Lake Lure","Fish the deep waters of Flat Iron Lake, south of Rhodes, for this legendary sturgeon. Special Lake Lure.","2","lemoyne","Legendary Lake Sturgeon","","YES","Large fish"
"fish-catfish","legendary-animals","Legendary Channel Catfish","📍 Sisika Island area → Special River Lure → Easier in Epilogue","This elusive catfish lurks near Sisika Prison Island. Use Special River Lure. Much easier to access during Epilogue.","2","lemoyne","Legendary Channel Catfish","","YES","Prison island area"
"bounty-benedict","bounties","Benedict Allbright ($40)","📍 Valentine → Rocks near Dakota River → ALIVE only","This poison seller's hiding on the rocks west of Valentine along the Dakota River. Sheriff wants him alive, partner - no exceptions.","2","new-hanover","$40 (alive only)","","YES","Valentine Sheriff"
"bounty-ellie","bounties","Ellie Anne Swan ($50)","📍 Valentine → Wallace Station NW → Alive $50, Dead $25","This female outlaw's camped northwest of Valentine near Wallace Station. Bring her in alive for $50, dead she's only worth $25.","2","new-hanover","$50 alive / $25 dead","","YES","Valentine Sheriff"
"bounty-mark","bounties","Mark Johnson ($25)","📍 Rhodes → Bluewater Marsh → Gang backup","This horse thief's hiding out in Bluewater Marsh with his gang. Low bounty but watch for his boys.","3","lemoyne","$25","","YES","Rhodes Sheriff"
"bounty-robbie","bounties","Robbie Laidlaw ($45)","📍 Rhodes → Caliga Hall area → Dangerous","This murderer's holed up near the Caliga Hall farmhouse. Dangerous fella - approach with caution.","3","lemoyne","$45","","YES","Rhodes Sheriff"
"bounty-camille","bounties","Camille de Millemont ($55)","📍 Rhodes → Saint Denis saloon → Persuasive","This French con artist's making marks in a Saint Denis saloon. She'll try to talk her way out - stay focused on the job.","3","lemoyne","$55","","YES","Rhodes Sheriff"
"bounty-joshua","bounties","Joshua Brown ($40)","📍 Strawberry → Abandoned mine NW → Dangerous","This dangerous criminal's hiding in the abandoned mine northwest of Strawberry. Bring dynamite or patience, partner.","2","west-elizabeth","$40","","YES","Strawberry Sheriff"
"bounty-bart","bounties","Bart Cavanaugh ($60)","📍 Strawberry → Gang leader → Stealth recommended","This outlaw gang leader's got multiple bodyguards. Approach carefully - stealth is your friend here.","2","west-elizabeth","$60","","YES","Strawberry Sheriff"
